City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pueblo Rico,CO,5.24,-76.04,77.0,65,40,6.91,scattered clouds
1,Tasiilaq,GL,65.61,-37.64,19.4,86,90,23.02,snow
2,Punta Arenas,CL,-53.15,-70.92,44.6,65,0,23.02,clear sky
3,Namibe,AO,-15.20,12.15,78.85,82,88,5.44,overcast clouds
4,Ust-Tsilma,RU,65.44,52.15,17.87,98,50,3.65,scattered clouds
5,Cap Malheureux,MU,-19.98,57.61,81.0,75,8,8.01,clear sky
6,Saint George,US,37.10,-113.58,89.01,9,1,4.61,clear sky
7,Vesyegonsk,RU,58.66,37.26,32.2,86,100,8.19,light snow
8,Olinda,BR,-8.01,-34.86,80.6,74,75,5.75,broken clouds
9,Itabirito,BR,-20.25,-43.80,77.0,65,40,5.75,scattered clouds
10,Ponta Delgada,PT,37.73,-25.67,60.8,94,40,6.91,scattered clouds
11,Kuytun,RU,54.34,101.50,25.66,98,99,1.7,overcast clouds
12,Roald,NO,62.58,6.13,28.4,80,20,17.27,light snow
13,Constantine,DZ,36.37,6.61,51.8,71,40,8.05,scattered clouds
14,Qaqortoq,GL,60.72,-46.03,37.4,87,90,3.44,overcast clouds
15,Mumford,GH,5.26,-0.76,80.6,87,24,10.56,few clouds
16,Naples,IT,40.83,14.25,50.0,49,0,5.75,clear sky
17,Mahebourg,MU,-20.41,57.70,81.0,75,37,8.01,scattered clouds
18,Saint-Philippe,RE,-21.36,55.77,78.8,78,0,4.61,clear sky
19,Castro,BR,-24.79,-50.01,59.95,90,39,6.33,scattered clouds
20,Mehamn,NO,71.04,27.85,32.09,97,100,4.79,light snow
21,Arraial Do Cabo,BR,-22.97,-42.03,77.0,78,40,4.61,scattered clouds
22,Henties Bay,NA,-22.12,14.28,66.0,84,13,1.99,few clouds
23,Georgetown,MY,5.41,100.34,82.99,89,20,3.67,few clouds
24,Kambove,CD,-10.88,26.60,60.31,97,27,3.74,scattered clouds
25,Sao Felix Do Xingu,BR,-6.64,-51.99,76.15,91,42,2.55,scattered clouds
26,Braganca,BR,-1.05,-46.77,74.91,95,98,2.48,overcast clouds
27,Port Elizabeth,ZA,-33.92,25.57,66.2,88,90,10.36,overcast clouds
28,Pitimbu,BR,-7.47,-34.81,80.6,89,40,6.91,scattered clouds
29,Bengkulu,ID,-3.80,102.27,76.77,83,100,9.69,light rain
30,Hermanus,ZA,-34.42,19.23,64.99,90,97,1.99,overcast clouds
31,Pinega,RU,64.70,43.39,31.95,94,100,10.63,light snow
32,Upernavik,GL,72.79,-56.15,-11.69,89,36,11.97,scattered clouds
33,Victoria,HK,22.29,114.16,72.0,89,100,18.23,overcast clouds
34,Ponta Do Sol,PT,32.67,-17.10,55.99,61,79,1.99,broken clouds
35,Saldanha,ZA,-33.01,17.94,64.4,88,11,6.91,few clouds
36,Cayenne,GF,4.93,-52.33,80.01,89,75,5.75,broken clouds
37,Ushuaia,AR,-54.80,-68.30,42.8,81,75,25.32,snow
38,Mar Del Plata,AR,-38.00,-57.56,69.01,94,40,11.5,scattered clouds
39,Luanda,AO,-8.84,13.23,78.8,83,20,5.75,few clouds
40,Thinadhoo,MV,0.53,72.93,82.92,76,25,16.49,scattered clouds
41,East London,ZA,-33.02,27.91,66.74,74,5,12.8,clear sky
42,La Roda,ES,39.22,-2.15,51.8,87,0,8.05,clear sky
43,Aden,YE,12.78,45.04,80.42,58,48,3.89,scattered clouds
